feature,coef,abs_coef
cat__semantic_field_feeling,2.493110273909828,2.493110273909828
cat__semantic_field_time,-1.8530410682078755,1.8530410682078755
cat__semantic_field_stative,1.258111567101896,1.258111567101896
cat__tgt_pos_prep,1.1767685710154387,1.1767685710154387
cat__semantic_field_attribute,-1.1185031980936815,1.1185031980936815
cat__semantic_field_Tops,1.1162103764305873,1.1162103764305873
cat__semantic_field_pert,0.9527353296761247,0.9527353296761247
cat__semantic_field_food,-0.950918214155459,0.950918214155459
cat__semantic_field_event,-0.8986788062367093,0.8986788062367093
cat__src_pos_adv,0.8925514775498324,0.8925514775498324
cat__tgt_pos_conj,-0.8558343365677286,0.8558343365677286
cat__semantic_field_object,0.8459014214438667,0.8459014214438667
cat__semantic_field_contact,-0.8260910440779196,0.8260910440779196
cat__semantic_field_person,-0.788009717240106,0.788009717240106
cat__semantic_field_phenomenon,0.6767498719012832,0.6767498719012832
cat__semantic_field_animal,-0.6610932711849117,0.6610932711849117
cat__semantic_field_shape,-0.6386419062581374,0.6386419062581374
cat__semantic_field_perception,0.6296634243450945,0.6296634243450945
cat__tgt_pos_verb,-0.5746729564864622,0.5746729564864622
cat__semantic_field_social,-0.5479296469630781,0.5479296469630781
cat__semantic_field_group,-0.48511153938912915,0.48511153938912915
cat__semantic_field_location,0.4771266056414692,0.4771266056414692
cat__semantic_field_competition,0.470272695143186,0.470272695143186
cat__semantic_field_quantity,0.4189954007606027,0.4189954007606027
cat__src_pos_prep,-0.4128887369271359,0.4128887369271359
cat__semantic_field_all,-0.3955516530129293,0.3955516530129293
cat__src_pos_verb,0.3745709926121051,0.3745709926121051
cat__grammatical_conflicts_verb_forms,0.3745709926121051,0.3745709926121051
cat__semantic_field_quatity,0.3732720371762011,0.3732720371762011
cat__src_pos_conj,-0.32232542915831014,0.32232542915831014
cat__semantic_field_relation,-0.31454466432389494,0.31454466432389494
cat__semantic_field_motion,0.3127533734750692,0.3127533734750692
cat__semantic_field_creation,-0.28828540185962326,0.28828540185962326
cat__tgt_pos_pron,0.2629761218954126,0.2629761218954126
cat__src_pos_det,-0.2450873990500797,0.2450873990500797
cat__semantic_field_substance,-0.2308253700143465,0.2308253700143465
cat__grammatical_conflicts_no_conflicts,-0.223045568675047,0.223045568675047
num__abs_diff_sessions,-0.2018662853978142,0.2018662853978142
cat__tgt_pos_adv,-0.19718924280768477,0.19718924280768477
num__diff_sessions,-0.19480005452423457,0.19480005452423457
num__abs_diff_lexeme_count,-0.18235623044143306,0.18235623044143306
cat__tgt_pos_det,0.17292801376679642,0.17292801376679642
cat__semantic_field_cognition,0.16513469858632648,0.16513469858632648
cat__semantic_field_act,-0.1529671607097475,0.1529671607097475
cat__grammatical_conflicts_gender_number_forms,-0.15152542393707422,0.15152542393707422
cat__semantic_field_emotion,-0.14384711183943433,0.14384711183943433
cat__src_pos_adj,-0.13163283959565097,0.13163283959565097
cat__src_pos_pron,-0.1212551814668745,0.1212551814668745
num__concreteness,-0.10634232738609121,0.10634232738609121
cat__semantic_field_change,0.08493219151951048,0.08493219151951048
num__abs_diff_len,0.0822871090099498,0.0822871090099498
num__tgt_lemma_length,-0.08202427266231699,0.08202427266231699
num__src_lemma_length,-0.07311928105174938,0.07311928105174938
num__diff_lexeme_count,-0.07016608907805098,0.07016608907805098
num__src_lexeme_count,-0.06790045172320543,0.06790045172320543
cat__tgt_pos_adj,0.062207740305667336,0.062207740305667336
cat__semantic_field_artifact,-0.05464723256250302,0.05464723256250302
cat__semantic_field_consumption,0.05004955467507517,0.05004955467507517
num__src_session_count,-0.04752380943853094,0.04752380943853094
cat__tgt_pos_noun,-0.04718391112148613,0.04718391112148613
cat__semantic_field_communication,0.0436681182198535,0.0436681182198535
cat__src_pos_noun,-0.0339328839638907,0.0339328839638907
cat__semantic_field_body,0.02994041458293589,0.02994041458293589
num__tgt_session_count,0.027540443259812527,0.027540443259812527
cat__semantic_field_plant,-0.026834825641413845,0.026834825641413845
num__meaning_conflicts,-0.024264931457449353,0.024264931457449353
cat__semantic_field_state,-0.02267089914692411,0.02267089914692411
num__diff_len,0.018900758979198393,0.018900758979198393
num__tgt_lexeme_count,0.012412919170036755,0.012412919170036755
num__frequency,0.005523806697739724,0.005523806697739724
cat__semantic_field_possession,-0.00043462367119074315,0.00043462367119074315
