src_lemma,tgt_lemma,src_pos,tgt_pos,src_median_hf,tgt_median_hf,src_lexeme_count,tgt_lexeme_count,grammatical_conflicts,meaning_conflicts,src_lemma_length,tgt_lemma_length,concreteness,frequency,semantic_field,src_median_hf_days,tgt_median_hf_days,src_session_count,tgt_session_count
able,capaz,adj,adj,2922286.0,1144294000.0,1,1,no_conflicts,False,4,5,2.38,5.43,all,33.8227546,13244.143519,279,497
about,aproximadamente,adv,adv,564976800.0,683173300.0,2,1,no_conflicts,True,5,15,1.77,6.4,all,6539.0833333,7907.09838,3359,529
absence,ausencia,noun,noun,3412588000.0,2166358000.0,1,1,no_conflicts,False,7,8,2.31,4.34,state,39497.5462963,25073.587963,61,55
absolutely,absolutamente,adv,adv,575082400.0,1491533000.0,1,1,no_conflicts,True,10,13,1.97,4.98,all,6656.0462963,17263.113426,418,386
absolutely,totalmente,adv,adv,575082400.0,1469405000.0,1,1,no_conflicts,True,10,10,1.97,4.98,all,6656.0462963,17007.002315,418,478
access,acceso,noun,noun,1461996000.0,1042597000.0,2,1,gender_number_forms,False,6,6,2.71,5.05,attribute,16921.25,12067.094907,101,56
account,explicación,noun,noun,2600586000.0,1543239000.0,2,1,gender_number_forms,True,7,11,3.08,5.21,communication,30099.375,17861.5625,92,62
act,actuar,noun,verb,877057700.0,765272500.0,2,1,gender_number_forms,False,3,6,2.46,5.3,communication,10151.130787,8857.320602,134,33
action,acción,noun,noun,1372872000.0,1576138000.0,2,3,gender_number_forms,True,6,6,2.86,5.25,act,15889.7222222,18242.337963,68,42
action,actividad,noun,noun,1372872000.0,1263849000.0,2,3,gender_number_forms,True,6,9,2.86,5.25,act,15889.7222222,14627.881944,68,53
activity,acción,noun,noun,614423500.0,1576138000.0,1,3,gender_number_forms,True,8,6,2.72,4.86,act,7111.3831019,18242.337963,91,42
activity,actividad,noun,noun,614423500.0,1263849000.0,1,3,gender_number_forms,True,8,9,2.72,4.86,act,7111.3831019,14627.881944,91,53
actor,actor,noun,noun,13713230.0,609440000.0,2,4,gender_number_forms,True,5,5,4.57,4.65,person,158.7179398,7053.703704,3613,3613
add,añadir,verb,verb,587877200.0,1658972000.0,6,4,verb_forms,False,3,6,3.0,5.09,change,6804.1342593,19201.064815,859,318
address,dirección,noun,noun,1202658000.0,1199386000.0,2,1,gender_number_forms,True,7,9,3.89,4.91,communication,13919.6527778,13881.782407,238,402
advantage,ventaja,noun,noun,2172908.0,1200076000.0,1,3,gender_number_forms,False,9,7,2.0,4.78,attribute,25.1493981,13889.768519,380,14
adventure,aventura,noun,noun,14558830.0,10698650000.0,2,1,gender_number_forms,False,9,8,2.59,4.46,act,168.5049769,123826.967593,444,19
advertise,anunciar,verb,verb,1205655000.0,1848836000.0,1,2,verb_forms,True,9,8,2.81,3.66,communication,13954.3402778,21398.564815,52,186
advertisement,publicidad,noun,noun,247898600.0,3252663000.0,1,1,no_conflicts,False,13,10,3.77,3.84,communication,2869.1967593,37646.5625,75,50
advice,consejo,noun,noun,88392640.0,619614900.0,1,1,no_conflicts,True,6,7,2.73,4.88,communication,1023.062963,7171.46875,100,28
afraid,miedo,adj,noun,52045820.0,575526000.0,1,1,no_conflicts,True,6,5,2.7,4.7,all,602.3821759,6661.180556,570,87
after,después,prep,adv,474383500.0,614104600.0,1,1,no_conflicts,False,5,7,2.12,6.11,all,5490.5497685,7107.69213,1624,949
against,contra,prep,prep,29727600.0,118574200.0,1,1,no_conflicts,False,7,6,1.8,5.68,competition,344.0694444,1372.386574,1418,2370
age,edad,noun,noun,13047840.0,1710175000.0,2,1,gender_number_forms,False,3,4,2.86,5.32,attribute,151.0166667,19793.69213,2184,90
agency,agencia,noun,noun,1785118000.0,1488449000.0,2,1,gender_number_forms,True,6,7,3.87,4.87,group,20661.087963,17227.418981,69,286
agency,oficina,noun,noun,1785118000.0,1061225000.0,2,3,gender_number_forms,True,6,7,3.87,4.87,group,20661.087963,12282.696759,69,247
agent,agente,noun,noun,1608804000.0,679683500.0,2,1,gender_number_forms,False,5,6,3.61,4.81,person,18620.4166667,7866.707176,67,998
agreement,acuerdo,noun,noun,416304200.0,1764644000.0,2,2,gender_number_forms,True,9,7,2.22,4.88,communication,4818.3356481,20424.12037,119,52
aim,intención,noun,noun,639493300.0,3587460000.0,2,1,gender_number_forms,True,3,9,3.27,4.51,cognition,7401.5428241,41521.527778,68,47
aim,propósito,noun,noun,639493300.0,720480100.0,2,1,gender_number_forms,True,3,9,3.27,4.51,cognition,7401.5428241,8338.890046,68,48
air,aire,noun,noun,568955300.0,630708100.0,2,1,gender_number_forms,True,3,4,4.11,5.37,substance,6585.130787,7299.862269,78,66
airplane,avión,noun,noun,17878840.0,1684374000.0,2,1,gender_number_forms,True,8,5,4.96,3.92,artifact,206.9310185,19495.069444,586,456
airport,aeropuerto,noun,noun,738826800.0,1037340000.0,2,1,gender_number_forms,False,7,10,4.87,4.84,artifact,8551.2361111,12006.25,408,509
alcohol,alcohol,noun,noun,6979643.0,1622923000.0,1,1,no_conflicts,False,7,7,4.76,4.61,food,80.7829051,18783.831019,11064,11064
alive,vivo,adj,adj,228959300.0,4009656.0,1,1,no_conflicts,False,5,4,3.14,4.76,all,2649.9918981,46.408056,560,36
allow,permitir,verb,verb,633075100.0,609689500.0,7,7,verb_forms,True,5,8,2.41,5.01,social,7327.2581019,7056.591435,1329,484
almost,casi,adv,adv,743425600.0,747570400.0,1,1,no_conflicts,False,6,4,1.66,5.39,all,8604.462963,8652.435185,588,746
alone,solo,adj,adj,494071400.0,1398299000.0,1,2,gender_number_forms,True,5,4,2.86,5.16,all,5718.4189815,16184.016204,335,1131
alone,único,adj,adj,494071400.0,1797324000.0,1,1,no_conflicts,True,5,5,2.86,5.16,all,5718.4189815,20802.361111,335,562
already,ya,adv,adv,594247000.0,625409300.0,1,1,no_conflicts,False,7,2,1.64,5.55,all,6877.8587963,7238.533565,713,1253
also,también,adv,adv,1203916000.0,642723200.0,1,1,no_conflicts,True,4,7,1.83,6.19,all,13934.212963,7438.925926,787,977
alternative,alternativa,noun,noun,605971000.0,2915301000.0,2,3,gender_number_forms,True,11,11,2.46,4.71,cognition,7013.5532407,33741.909722,100,14
always,siempre,adv,adv,644573900.0,701485300.0,1,1,no_conflicts,True,6,7,1.71,5.76,all,7460.3460648,8119.042824,1398,1341
american,americano,adj,adj,1514624000.0,818940200.0,2,1,gender_number_forms,False,8,9,4.79,5.49,pert,17530.3703704,9478.474537,793,69
among,en,prep,prep,52364650.0,106739300.0,1,1,no_conflicts,True,5,2,2.38,5.31,group,606.072338,1235.408565,2340,10704
amount,cantidad,noun,noun,930579800.0,4076430000.0,1,3,gender_number_forms,True,6,8,2.74,5.13,possession,10770.599537,47180.902778,143,11
analysis,análisis,noun,noun,3226369000.0,40030710.0,1,1,no_conflicts,False,8,8,2.56,4.91,act,37342.2337963,463.318403,54,48
and,y,conj,conj,5551831.0,13162210.0,1,2,no_conflicts,False,3,1,1.52,7.41,all,64.2573032,152.340394,42960,17761
animal,animal,noun,noun,5863732.0,47131650.0,2,2,gender_number_forms,False,6,6,4.61,4.81,Tops,67.8672685,545.505208,34409,34409
announce,anunciar,verb,verb,932395800.0,1848836000.0,2,2,verb_forms,True,8,8,3.31,4.26,communication,10791.6180556,21398.564815,287,186
another,otro,det,pron,505071100.0,614957200.0,1,8,gender_number_forms,False,7,4,2.69,5.74,all,5845.7303241,7117.560185,453,489
answer,respuesta,noun,noun,11983920.0,1000962000.0,6,3,gender_number_forms,True,6,9,2.89,5.17,communication,138.7027778,13218.275463,6283,44
answer,responder,verb,verb,11983920.0,1142059000.0,6,3,verb_forms,True,6,9,2.89,5.17,communication,138.7027778,11585.208333,6283,284
any,cualquier,det,det,1002438000.0,933581000.0,2,1,gender_number_forms,False,3,9,1.72,6.07,all,11602.2916667,10805.335648,296,838
anybody,cualquiera,pron,pron,1172996000.0,539775200.0,1,1,no_conflicts,False,7,10,2.67,4.56,Tops,13576.3425926,6247.398148,245,75
apple,manzana,noun,noun,8109417.0,56176770.0,2,2,gender_number_forms,False,5,7,5.0,4.76,food,93.8589931,650.194097,42937,34341
application,aplicación,noun,noun,1236530000.0,1433242000.0,2,1,gender_number_forms,False,11,10,3.4,4.86,act,14311.6898148,16588.449074,158,40
apply,aplicar,verb,verb,1158780000.0,6821392000.0,2,2,verb_forms,False,5,7,2.5,4.81,consumption,13411.8055556,78951.296296,196,81
appointment,cita,noun,noun,5967699.0,698927700.0,1,1,no_conflicts,True,11,4,3.0,4.49,act,69.0705903,8089.440972,1829,1676
appointment,compromiso,noun,noun,5967699.0,3576911000.0,1,1,no_conflicts,True,11,10,3.0,4.49,act,69.0705903,41399.43287,1829,49
approval,aprobación,noun,noun,769524700.0,2511770000.0,1,1,no_conflicts,False,8,10,2.33,4.5,act,8906.5358796,29071.412037,64,32
approximately,aproximadamente,adv,adv,748970500.0,683173300.0,1,1,no_conflicts,True,13,15,2.54,4.64,all,8668.6400463,7907.09838,358,529
area,región,noun,noun,598669000.0,861975500.0,3,3,gender_number_forms,True,4,6,3.72,5.46,location,6929.0393519,9976.568287,276,246
area,zona,noun,noun,598669000.0,1054106000.0,3,1,gender_number_forms,True,4,4,3.72,5.46,location,6929.0393519,12200.300926,276,337
argument,argumento,noun,noun,69020150.0,513963700.0,2,2,gender_number_forms,False,8,9,2.85,4.64,communication,798.8443287,5948.653935,69,34
arm,arma,noun,noun,303416900.0,590961600.0,1,2,gender_number_forms,True,3,4,4.96,4.73,body,3511.7696759,6839.833333,73,181
arm,brazo,noun,noun,303416900.0,613751100.0,1,3,gender_number_forms,True,3,5,4.96,4.73,body,3511.7696759,7103.600694,73,37
army,ejército,noun,noun,2213462000.0,2704792000.0,1,1,no_conflicts,False,4,8,4.7,5.06,group,25618.7731481,31305.462963,76,32
