src_lemma,tgt_lemma,src_pos,tgt_pos,src_median_hf,tgt_median_hf,src_lexeme_count,tgt_lexeme_count,grammatical_conflicts,meaning_conflicts,src_lemma_length,tgt_lemma_length,concreteness,frequency,semantic_field,src_median_hf_days,tgt_median_hf_days,src_session_count,tgt_session_count
about,aproximadamente,adv,adv,177724400,408264100,2,1,no_conflicts,True,5,15,1.77,6.4,all,2056.99537,4725.278935185,818,23
about,sobre,prep,prep,177724400,7152921,2,1,no_conflicts,True,5,5,1.77,6.4,all,2056.99537,82.7884375,818,139
absence,ausência,noun,noun,2278171000,24515390,1,1,no_conflicts,False,7,8,2.31,4.34,state,26367.71991,283.742939815,7,3
absolutely,absolutamente,adv,adv,2052147000,692606600,1,1,no_conflicts,True,10,13,1.97,4.98,all,23751.70139,8016.280092593,51,16
accept,aceitar,verb,verb,589215000,1465642000,1,1,verb_forms,False,6,7,3.03,4.85,cognition,6819.61806,16963.449074074,20,2
access,acesso,noun,noun,2195621000,342667900,1,1,no_conflicts,False,6,6,2.71,5.05,attribute,25412.28009,3966.063657407,10,2
account,relatório,noun,noun,2740820000,780613.6,2,1,gender_number_forms,True,7,9,3.08,5.21,communication,31722.4537,9.03487963,8,2
achieve,atingir,verb,verb,150883700,455776900,2,2,verb_forms,True,7,7,2.29,4.57,social,1746.33912,5275.195601852,36,14
achieve,realizar,verb,verb,150883700,1948984000,2,1,verb_forms,True,7,8,2.29,4.57,social,1746.33912,22557.685185185,36,5
action,atividade,noun,noun,4089364,565468900,2,1,gender_number_forms,True,6,9,2.86,5.25,act,47.3306,6544.778935185,27,1
action,ação,noun,noun,4089364,147917100,2,1,gender_number_forms,True,6,4,2.86,5.25,act,47.3306,1712.003472222,27,3
activity,atividade,noun,noun,2395667000,565468900,1,1,no_conflicts,True,8,9,2.72,4.86,act,27727.62731,6544.778935185,11,1
activity,ação,noun,noun,2395667000,147917100,1,1,no_conflicts,True,8,4,2.72,4.86,act,27727.62731,1712.003472222,11,3
actor,ator,noun,noun,7405907,837865600,3,1,gender_number_forms,True,5,4,4.57,4.65,person,85.71652,9697.518518519,446,2
add,adicionar,verb,verb,282699800,14465260,5,1,verb_forms,False,3,9,3.0,5.09,change,3271.98843,167.421990741,165,7
address,endereço,noun,noun,618471200,1691954000,2,1,gender_number_forms,False,7,8,3.89,4.91,communication,7158.23148,19582.800925926,61,2
advantage,vantagem,noun,noun,4505529,1225340000,2,1,gender_number_forms,False,9,8,2.0,4.78,attribute,52.14733,14182.175925926,72,1
adventure,aventura,noun,noun,10895730,64979300,2,1,gender_number_forms,False,9,8,2.59,4.46,act,126.10799,752.075231481,70,3
advertise,anunciar,verb,verb,771316400,587267300,1,1,verb_forms,True,9,8,2.81,3.66,communication,8927.27315,6797.075231481,14,10
advertisement,publicidade,noun,noun,930642200,280755600,2,1,gender_number_forms,True,13,11,3.77,3.84,communication,10771.32176,3249.486111111,11,2
after,depois,prep,adv,143529700,515304900,1,1,no_conflicts,False,5,6,2.12,6.11,all,1661.22338,5964.177083333,439,30
afternoon,tarde,noun,noun,28771100,2091482,2,4,gender_number_forms,False,9,5,3.7,4.72,time,332.99884,24.206967593,819,1464
again,novamente,adv,adv,1688602000,626885600,1,1,no_conflicts,False,5,9,2.0,5.7,all,19544.00463,7255.62037037,90,22
against,contra,prep,prep,29956320,584335400,1,1,no_conflicts,False,7,6,1.8,5.68,competition,346.71667,6763.141203704,408,62
age,idade,noun,noun,97895210,518469000,2,1,gender_number_forms,False,3,5,2.86,5.32,attribute,1133.04641,6000.798611111,457,11
agency,agência,noun,noun,322810200,561511200,2,1,gender_number_forms,False,6,7,3.87,4.87,group,3736.22917,6498.972222222,16,1
agent,agente,noun,noun,22515760,994665000,2,1,gender_number_forms,False,5,6,3.61,4.81,person,260.59907,11512.326388889,18,37
ago,atrás,adv,adv,53577600,60519120,1,1,no_conflicts,True,3,5,1.42,5.42,all,620.11111,700.452777778,153,36
agree,concordar,verb,verb,1457609000,199249100,2,1,verb_forms,False,5,9,2.31,4.97,communication,16870.47454,2306.123842593,59,31
aim,intenção,noun,noun,2595443000,9054198000,2,1,gender_number_forms,True,3,8,3.27,4.51,cognition,30039.84954,104793.958333333,7,1
aim,objetivo,noun,noun,2595443000,176716000,2,1,gender_number_forms,True,3,8,3.27,4.51,cognition,30039.84954,2045.324074074,7,1
