src_lemma,tgt_lemma,src_median_hf_days,tgt_median_hf_days,src_log_days,tgt_log_days,log_gap,abs_log_gap
declare,anunciar,6809.67014,6797.075231481,8.826245799588419,8.824394796902828,0.0018510026855906858,0.0018510026855906858
go,ir,5942.31713,5901.363425926,8.690022695881378,8.68310813034822,0.006914565533158168,0.006914565533158168
now,agora,7099.75,7161.681712963,8.867955691253366,8.876639730748371,-0.00868403949500518,0.00868403949500518
today,hoje,1064.89838,1052.94537037,6.9715732718515495,6.960295896989546,0.01127737486200342,0.01127737486200342
photo,fotografia,6572.69676,6498.41087963,8.790831625992643,8.779466817873152,0.011364808119491698,0.011364808119491698
pay,pagar,7916.96528,7817.490740741,8.976889542710769,8.964246815007236,0.012642727703532586,0.012642727703532586
make,fazer,6347.19444,6437.282407407,8.75592571129693,8.770017076601404,-0.014091365304473413,0.014091365304473413
into,em,6919.45255,7031.642361111,8.842236443872242,8.858317783473872,-0.016081339601630162,0.016081339601630162
employment,trabalho,147.92812,150.816203704,5.003463773437989,5.0226706030329344,-0.01920682959494524,0.01920682959494524
swim,nadar,6455.81366,6308.84837963,8.772891233606982,8.749866926661781,0.02302430694520119,0.02302430694520119
main,principal,12487.8588,12181.215277778,9.432592229849938,9.40773240303293,0.024859826817007047,0.024859826817007047
sleep,dormir,6553.28241,6369.054398148,8.787873918046628,8.759363288270405,0.028510629776222984,0.028510629776222984
risk,perigo,88.92537,86.358287037,4.498980104113118,4.470017903711405,0.028962200401712934,0.028962200401712934
military,militar,12478.14815,12845.601851852,9.431814382382251,9.460834608024314,-0.029020225642062414,0.029020225642062414
come,chegar,5826.15625,5658.774305556,8.67028438161109,8.641139295058723,0.029145086552366806,0.029145086552366806
serious,sério,7366.52662,7139.861111111,8.904837327771254,8.873588651858636,0.03124867591261804,0.03124867591261804
possible,possível,13615.8912,13169.212962963,9.519066301080171,9.485712964915093,0.03335333616507796,0.03335333616507796
pace,ritmo,55858.36806,54013.599537037,10.930592526510006,10.897009650802229,0.033582875707777404,0.033582875707777404
open,aberto,7026.1875,7316.107638889,8.857541833631153,8.897970397571099,-0.04042856393994576,0.04042856393994576
though,embora,60.96823,58.441261574,4.1266218343585885,4.084988624511324,0.04163320984726493,0.04163320984726493
play,jogar,9466.28009,9879.219907407,9.155596931621309,9.198290048328928,-0.04269311670761944,0.04269311670761944
fast,rápido,12432.78935,12977.8125,9.428172993234915,9.471073499169972,-0.0429005059350569,0.0429005059350569
choice,opção,7120.96875,6792.101851852,8.870939476015684,8.823662942727065,0.047276533288618694,0.047276533288618694
park,parque,10537.71644,11102.755787037,9.262811034793433,9.315038689262385,-0.05222765446895217,0.05222765446895217
distance,distância,16340.37037,17232.071759259,9.701455230870511,9.754585593333664,-0.05313036246315228,0.05313036246315228
