feature,coef,abs_coef
cat__semantic_field_relation,2.701663569468773,2.701663569468773
cat__semantic_field_feeling,2.4909506375304793,2.4909506375304793
cat__semantic_field_body,-2.4730371578265276,2.4730371578265276
cat__semantic_field_person,-2.2882451614153076,2.2882451614153076
cat__semantic_field_time,-2.0251602555055537,2.0251602555055537
cat__semantic_field_event,-1.684515336384157,1.684515336384157
cat__src_pos_pron,-1.653759730869173,1.653759730869173
cat__tgt_pos_verb,-1.6082914883173907,1.6082914883173907
cat__semantic_field_emotion,1.4650433826639937,1.4650433826639937
cat__semantic_field_object,1.386973685857066,1.386973685857066
cat__tgt_pos_prep,1.367814436823895,1.367814436823895
cat__src_pos_prep,-1.185450215862396,1.185450215862396
cat__semantic_field_state,-1.0616261865204917,1.0616261865204917
cat__src_pos_adj,0.9867105910152288,0.9867105910152288
cat__semantic_field_motion,0.9775868180881132,0.9775868180881132
cat__semantic_field_location,0.927376190414671,0.927376190414671
cat__semantic_field_shape,-0.905904264383713,0.905904264383713
cat__semantic_field_stative,0.8917992625506455,0.8917992625506455
cat__semantic_field_animal,-0.8895367086096987,0.8895367086096987
cat__semantic_field_phenomenon,0.8618101254543518,0.8618101254543518
cat__semantic_field_change,0.8489698242223616,0.8489698242223616
cat__tgt_pos_det,-0.8250012296751751,0.8250012296751751
cat__semantic_field_substance,-0.7359299035210243,0.7359299035210243
cat__semantic_field_Tops,0.7191474783190209,0.7191474783190209
cat__tgt_pos_adv,0.6866149564387393,0.6866149564387393
cat__tgt_pos_adj,-0.6716070105961447,0.6716070105961447
cat__semantic_field_plant,0.6215796821853111,0.6215796821853111
cat__semantic_field_attribute,-0.6157903231658403,0.6157903231658403
cat__semantic_field_possession,-0.5717452738274305,0.5717452738274305
cat__semantic_field_group,-0.552401982490167,0.552401982490167
cat__semantic_field_quantity,-0.5496921352332156,0.5496921352332156
cat__semantic_field_artifact,0.5351566084851155,0.5351566084851155
cat__src_pos_verb,0.509197118074504,0.509197118074504
cat__grammatical_conflicts_verb_forms,0.509197118074504,0.509197118074504
cat__semantic_field_communication,0.49761814936621473,0.49761814936621473
cat__tgt_pos_conj,0.4911558852997707,0.4911558852997707
cat__src_pos_conj,0.4911558852997707,0.4911558852997707
num__concreteness,-0.4435555502348537,0.4435555502348537
cat__grammatical_conflicts_no_conflicts,-0.44059721010804,0.44059721010804
cat__semantic_field_cognition,-0.42684170198529414,0.42684170198529414
cat__src_pos_noun,0.41741830368014426,0.41741830368014426
cat__semantic_field_pert,0.3139771156374789,0.3139771156374789
num__abs_diff_len,0.3117080379547705,0.3117080379547705
cat__src_pos_det,0.29318152011272247,0.29318152011272247
cat__tgt_pos_noun,0.2885988857935288,0.2885988857935288
num__tgt_lemma_length,-0.2791217251914868,0.2791217251914868
num__abs_diff_sessions,-0.2736795621949399,0.2736795621949399
cat__tgt_pos_pron,0.27071556423267285,0.27071556423267285
cat__semantic_field_food,-0.2260966310883484,0.2260966310883484
num__tgt_session_count,0.19865485177424091,0.19865485177424091
num__src_lemma_length,-0.18652281374468813,0.18652281374468813
cat__semantic_field_consumption,-0.16204492841837653,0.16204492841837653
cat__semantic_field_perception,-0.15621624496886116,0.15621624496886116
cat__semantic_field_contact,-0.15265217408809975,0.15265217408809975
num__abs_diff_lexeme_count,-0.14381887422077608,0.14381887422077608
cat__src_pos_adv,0.14154652854902952,0.14154652854902952
cat__semantic_field_social,0.1305558630703155,0.1305558630703155
num__diff_len,0.11573824081009479,0.11573824081009479
cat__semantic_field_competition,-0.10809973768884708,0.10809973768884708
num__diff_sessions,-0.10612375383661231,0.10612375383661231
num__src_lexeme_count,0.10284675957134827,0.10284675957134827
cat__semantic_field_creation,0.10103940911309271,0.10103940911309271
num__meaning_conflicts,0.08872372852062642,0.08872372852062642
num__frequency,-0.08846940748060984,0.08846940748060984
num__diff_lexeme_count,0.07924615810229695,0.07924615810229695
cat__semantic_field_all,0.07344191015951125,0.07344191015951125
cat__grammatical_conflicts_gender_number_forms,-0.06859990796651444,0.06859990796651444
cat__semantic_field_act,0.040846394534392566,0.040846394534392566
num__src_session_count,-0.030893705976597876,0.030893705976597876
num__tgt_lexeme_count,-0.013795873474916835,0.013795873474916835
