src_lemma,tgt_lemma,src_median_hf_days,tgt_median_hf_days,src_log_days,tgt_log_days,log_gap,abs_log_gap
method,método,0.1606481,11023.738426,0.1489785559962366,9.307896974500713,-9.158918418504475,9.158918418504475
tone,tono,25.4702778,106068.553241,3.2760225110838257,11.57185032056456,-8.295827809480734,8.295827809480734
beauty,belleza,25.2697222,100708.171296,3.2684170288413825,11.519992149991515,-8.251575121150132,8.251575121150132
ease,facilidad,26.7137153,105442.465278,3.3219274278374407,11.565930214124215,-8.244002786286774,8.244002786286774
commitment,compromiso,22.9834144,41399.43287,3.1773625247846415,10.631046615555846,-7.453684090771205,7.453684090771205
identity,identidad,20.5366667,35165.277778,3.0697569104497124,10.467842884723506,-7.398085974273794,7.398085974273794
soul,alma,87626.0300926,58.962697,11.380844792029716,4.093722652209485,7.287122139820231,7.287122139820231
luck,suerte,19.734456,24490.775463,3.031796857521047,10.106092644786754,-7.074295787265707,7.074295787265707
marriage,unión,82.7884375,96176.585648,4.428295020641321,11.473951612083644,-7.045656591442323,7.045656591442323
initiative,iniciativa,31.8478819,32572.44213,3.4918872649218438,10.391252576751203,-6.899365311829359,6.899365311829359
please,por favor,1455.4560185,1238806.712963,7.283761379239131,14.029659953218568,-6.745898573979437,6.745898573979437
adventure,aventura,168.5049769,123826.967593,5.132882288631331,11.726648523193889,-6.593766234562558,6.593766234562558
influence,influencia,22.9433102,16691.782407,3.1756889612480097,9.722731713785707,-6.547042752537697,6.547042752537697
guide,guía,2593.1550926,1725829.861111,7.861016152063656,14.361219151102393,-6.500202999038737,6.500202999038737
personality,personalidad,18.3706944,11992.696759,2.9637613260277553,9.392136520684145,-6.42837519465639,6.42837519465639
content,contenido,5307.3240741,7.706412,8.577031447488158,2.1640597656951908,6.412971681792968,6.412971681792968
appointment,compromiso,69.0705903,41399.43287,4.249503166779667,10.631046615555846,-6.381543448776179,6.381543448776179
advantage,ventaja,25.1493981,13889.768519,3.263826173037619,9.538979763159485,-6.2751535901218665,6.2751535901218665
difference,diferencia,17.0871528,7792.061343,2.895201896196309,8.960989045363974,-6.065787149167665,6.065787149167665
flight,vuelo,256.628125,110350.891204,5.551517169171019,11.61142954977092,-6.059912380599901,6.059912380599901
signal,señal,90588.0439815,223.376389,11.414088557362255,5.41332494975263,6.000763607609626,6.000763607609626
eat,consumir,37.2227083,15352.881944,3.6434297971074794,9.639123616417292,-5.995693819309812,5.995693819309812
quality,calidad,22.1410995,9263.881944,3.141610235762047,9.13398639649041,-5.992376160728364,5.992376160728364
path,ruta,39.7897917,16073.715278,3.708431846672643,9.685002836849426,-5.976570990176783,5.976570990176783
power,potencia,20.6168866,8351.685185,3.073474796290851,9.03033834519136,-5.956863548900509,5.956863548900509
