src_lemma,tgt_lemma,src_median_hf_days,tgt_median_hf_days,src_log_days,tgt_log_days,log_gap,abs_log_gap
so,entonces,6770.7627315,6770.883102,8.82051670594401,8.82053448114302,-1.777519901047242e-05,1.777519901047242e-05
come,llegar,7432.4282407,7436.439815,8.913742436505768,8.914281957720304,-0.0005395212145362649,0.0005395212145362649
specialist,especialista,7683.1203704,7692.546296,8.946911188836028,8.948137113026608,-0.0012259241905798746,0.0012259241905798746
tall,alto,6844.0844907,6853.711806,8.831286081064924,8.832691549683036,-0.0014054686181115272,0.0014054686181115272
under,bajo,5517.90625,5530.701389,8.615934976522258,8.618250712477414,-0.0023157359551557732,0.0023157359551557732
address,dirección,13919.6527778,13881.782407,9.541128827745773,9.538404675570478,0.0027241521752952025,0.0027241521752952025
corner,esquina,7016.0,6994.420139,8.85609105525229,8.853010948055,0.0030801071972899052,0.0030801071972899052
include,incluir,7069.6273148,7038.702546,8.863704484063335,8.85932119627081,0.004383287792524726,0.004383287792524726
almost,casi,8604.462963,8652.435185,9.060152508825345,9.065711652304069,-0.0055591434787238825,0.0055591434787238825
land,tierra,7583.0844907,7504.467593,8.933807184524172,8.923387046323938,0.010420138200233353,0.010420138200233353
bell,campana,13879.1782407,13716.770833,9.538217075527335,9.526447412350402,0.011769663176933065,0.011769663176933065
representative,portavoz,8430.5821759,8547.746528,9.039739717359371,9.053539946270975,-0.013800228911604151,0.013800228911604151
prevent,evitar,13622.9513889,13834.247685,9.519584654287128,9.53497479484357,-0.015390140556442944,0.015390140556442944
less,menos,6837.8275463,6963.09375,8.830371584564341,8.84852276288822,-0.018151178323877915,0.018151178323877915
opinion,pensamiento,20016.1111111,19647.569444,9.904342742312089,9.885759812815165,0.018582929496924194,0.018582929496924194
control,control,12593.4722222,12847.453704,9.441013284153264,9.460978748763544,-0.019965464610280037,0.019965464610280037
effectively,efectivamente,13863.7731481,13572.488426,9.537106596437484,9.51587378876803,0.021232807669454346,0.021232807669454346
lead,pista,6457.8993056,6598.407407,8.773214196129251,8.794735137165258,-0.021520941036007102,0.021520941036007102
border,límite,305.6032407,312.301736,5.725554536179636,5.747166738957796,-0.021612202778160672,0.021612202778160672
weapon,arma,6689.8599537,6839.833333,8.808497688015272,8.830664835505585,-0.0221671474903129,0.0221671474903129
remember,recordar,10861.650463,11122.290509,9.293085621077255,9.316796433114849,-0.023710812037593954,0.023710812037593954
site,lugar,7039.1030093,6865.543981,8.859378081047883,8.834416199105288,0.024961881942594744,0.024961881942594744
true,verdadero,6648.0243056,6835.180556,8.80222540192292,8.829984456408619,-0.027759054485699153,0.027759054485699153
nature,naturaleza,6957.1168981,6764.746528,8.847664156102523,8.819627886031759,0.028036270070764147,0.028036270070764147
crib,cuna,6102.9201389,5918.41088,8.71668648947438,8.68599220941274,0.0306942800616401,0.0306942800616401
