pair,feature,mean_abs_shap_src_harder,mean_abs_shap_tgt_harder,delta_src_minus_tgt
EN<->ES,num__src_session_count,0.39379284,0.2992514,0.09454143
EN<->ES,cat__semantic_field_time,0.4880654,0.39641273,0.09165266
EN<->ES,cat__semantic_field_artifact,0.25099438,0.18714796,0.063846424
EN<->ES,num__src_lemma_length,0.17604043,0.12975845,0.04628198
EN<->ES,cat__semantic_field_event,0.30526105,0.27938586,0.025875181
EN<->ES,cat__semantic_field_communication,0.13725123,0.11717957,0.020071656
EN<->ES,num__diff_lexeme_count,0.058477223,0.039931685,0.018545538
EN<->ES,cat__semantic_field_possession,0.11707619,0.09871257,0.018363617
EN<->ES,cat__src_pos_adj,0.07123653,0.055576667,0.015659861
EN<->ES,cat__semantic_field_cognition,0.0657198,0.050953947,0.014765851
EN<->ES,num__diff_len,0.09886571,0.086688824,0.012176886
EN<->ES,num__tgt_lemma_length,0.10552103,0.093738034,0.011782996
EN<->ES,cat__src_pos_prep,0.053139634,0.041919414,0.0112202205
EN<->ES,cat__semantic_field_food,0.052059446,0.041698337,0.010361109
EN<->ES,cat__semantic_field_pert,0.5245517,0.51496214,0.009589553
EN<->ES,num__abs_diff_len,0.057723045,0.049775783,0.007947262
EN<->ES,num__src_lexeme_count,0.06559809,0.058145843,0.0074522495
EN<->ES,cat__semantic_field_act,0.19940607,0.19300039,0.0064056814
EN<->ES,cat__semantic_field_substance,0.04552016,0.041956935,0.0035632253
EN<->ES,cat__tgt_pos_pron,0.05445818,0.051030647,0.0034275316
EN<->ES,num__tgt_lexeme_count,0.04338192,0.040669274,0.0027126446
EN<->ES,cat__semantic_field_consumption,0.052004516,0.05011582,0.0018886961
EN<->ES,cat__semantic_field_relation,0.007890631,0.006048965,0.0018416666
EN<->ES,cat__tgt_pos_verb,0.013710985,0.011983225,0.0017277598
EN<->ES,cat__semantic_field_phenomenon,0.03496689,0.033983752,0.0009831376
EN<->ES,cat__tgt_pos_noun,0.007219191,0.006531616,0.00068757497
EN<->ES,cat__src_pos_pron,0.09768467,0.09701465,0.0006700158
EN<->ES,cat__semantic_field_Tops,0.044602983,0.043974396,0.00062858686
EN<->ES,cat__semantic_field_creation,0.043467537,0.042845923,0.0006216131
EN<->ES,cat__semantic_field_change,0.07844089,0.07801981,0.000421077
EN<->ES,cat__src_pos_det,0.0014043928,0.0009976823,0.00040671043
EN<->ES,cat__tgt_pos_det,0.0002289497,0.00016100725,6.7942456e-05
EN<->ES,cat__semantic_field_shape,0.0,0.0,0.0
EN<->ES,cat__semantic_field_quatity,0.0,0.0,0.0
EN<->ES,cat__semantic_field_perception,0.006265971,0.0063722064,-0.0001062355
EN<->ES,cat__semantic_field_social,0.0032717579,0.003417135,-0.00014537713
EN<->ES,cat__semantic_field_emotion,0.0006155213,0.0008817794,-0.00026625814
EN<->ES,cat__tgt_pos_conj,0.015661143,0.016060205,-0.0003990624
EN<->ES,cat__src_pos_verb,0.06810524,0.06855116,-0.00044591725
EN<->ES,cat__semantic_field_plant,0.009444208,0.010319766,-0.0008755578
EN<->ES,cat__grammatical_conflicts_verb_forms,0.045523066,0.046450555,-0.00092748925
EN<->ES,cat__semantic_field_stative,0.029874472,0.030878032,-0.0010035597
EN<->ES,cat__semantic_field_contact,0.018155184,0.019343967,-0.001188783
EN<->ES,cat__src_pos_conj,0.11908164,0.12037307,-0.0012914315
EN<->ES,cat__semantic_field_all,0.006134687,0.007473442,-0.0013387548
EN<->ES,cat__grammatical_conflicts_no_conflicts,0.062338386,0.06384783,-0.0015094467
EN<->ES,cat__src_pos_adv,0.025033807,0.027479159,-0.0024453513
EN<->ES,num__abs_diff_lexeme_count,0.024846366,0.027307639,-0.0024612732
EN<->ES,num__meaning_conflicts,0.033143226,0.0356596,-0.002516374
EN<->ES,cat__grammatical_conflicts_gender_number_forms,0.014871707,0.018239338,-0.0033676308
EN<->ES,cat__semantic_field_motion,0.05442732,0.058260623,-0.003833305
EN<->ES,cat__semantic_field_competition,0.075704284,0.08030706,-0.004602775
EN<->ES,cat__semantic_field_animal,0.19010568,0.19472066,-0.004614979
EN<->ES,num__abs_diff_sessions,0.089847215,0.09449722,-0.004650004
EN<->ES,cat__tgt_pos_adv,0.064828865,0.069789104,-0.004960239
EN<->ES,cat__tgt_pos_adj,0.015421921,0.020919751,-0.00549783
EN<->ES,num__tgt_session_count,0.24486178,0.2504861,-0.005624324
EN<->ES,cat__semantic_field_body,0.05121528,0.057142247,-0.0059269667
EN<->ES,cat__semantic_field_group,0.046923023,0.053225,-0.0063019767
EN<->ES,cat__semantic_field_quantity,0.07446439,0.08162681,-0.007162422
EN<->ES,cat__tgt_pos_prep,0.034499902,0.042600356,-0.008100454
EN<->ES,cat__semantic_field_location,0.21438998,0.22626016,-0.011870176
EN<->ES,num__frequency,0.13864519,0.15108131,-0.012436122
EN<->ES,cat__semantic_field_person,0.14424826,0.15698588,-0.012737617
EN<->ES,cat__semantic_field_feeling,0.45305052,0.46685687,-0.013806343
EN<->ES,cat__semantic_field_object,0.06068871,0.07534977,-0.014661059
EN<->ES,cat__semantic_field_state,0.119750835,0.13559328,-0.015842445
EN<->ES,num__diff_sessions,0.7406622,0.76355463,-0.022892416
EN<->ES,cat__src_pos_noun,0.060005333,0.08675865,-0.026753318
EN<->ES,num__concreteness,0.1465656,0.17997846,-0.03341286
EN<->ES,cat__semantic_field_attribute,0.27746868,0.40955535,-0.13208666
