pair,feature,mean_abs_shap_src_harder,mean_abs_shap_tgt_harder,delta_src_minus_tgt
EN<->IT,cat__semantic_field_feeling,0.49436423,0.4123259,0.08203834
EN<->IT,cat__semantic_field_time,0.30894548,0.23924765,0.06969783
EN<->IT,cat__semantic_field_food,0.2957315,0.23562342,0.060108095
EN<->IT,cat__semantic_field_person,0.21371982,0.17037667,0.04334314
EN<->IT,num__diff_len,0.11703524,0.07823873,0.038796507
EN<->IT,cat__semantic_field_contact,0.67914814,0.6441092,0.035038948
EN<->IT,cat__tgt_pos_prep,0.20534508,0.17789751,0.027447566
EN<->IT,num__diff_lexeme_count,0.06806088,0.04794723,0.02011365
EN<->IT,cat__semantic_field_possession,0.5958226,0.57649994,0.019322634
EN<->IT,cat__semantic_field_state,0.19615105,0.1832989,0.012852147
EN<->IT,num__src_lexeme_count,0.08274934,0.07023566,0.012513675
EN<->IT,cat__semantic_field_motion,0.21435489,0.2024829,0.011871994
EN<->IT,cat__tgt_pos_noun,0.047770035,0.036486298,0.011283737
EN<->IT,cat__semantic_field_artifact,0.118519954,0.10914754,0.009372413
EN<->IT,cat__src_pos_prep,0.048428014,0.042472787,0.0059552267
EN<->IT,cat__semantic_field_communication,0.15690193,0.15135737,0.005544558
EN<->IT,num__tgt_lexeme_count,0.04373025,0.038961906,0.0047683455
EN<->IT,num__abs_diff_lexeme_count,0.040174063,0.035833165,0.0043408982
EN<->IT,cat__src_pos_conj,0.3119174,0.30785602,0.004061371
EN<->IT,cat__semantic_field_social,0.032518454,0.028503763,0.0040146913
EN<->IT,cat__semantic_field_quantity,0.11065756,0.10690234,0.0037552193
EN<->IT,cat__tgt_pos_pron,0.19728066,0.1935626,0.0037180632
EN<->IT,cat__semantic_field_process,0.01974451,0.016855923,0.0028885864
EN<->IT,cat__semantic_field_Tops,0.064943,0.062414102,0.0025288984
EN<->IT,cat__tgt_pos_det,0.46947327,0.46741292,0.0020603538
EN<->IT,cat__grammatical_conflicts_no_conflicts,0.014575896,0.012756584,0.0018193116
EN<->IT,cat__semantic_field_body,0.022720788,0.021009166,0.0017116219
EN<->IT,cat__semantic_field_motive,0.010350801,0.009401106,0.0009496948
EN<->IT,cat__semantic_field_consumption,0.0019152244,0.0013475871,0.00056763727
EN<->IT,cat__semantic_field_pert,0.0066570267,0.0062966677,0.00036035897
EN<->IT,cat__grammatical_conflicts_verb_forms,0.0014012571,0.0010916586,0.00030959852
EN<->IT,cat__semantic_field_animal,0.011205969,0.010941207,0.00026476197
EN<->IT,cat__semantic_field_perception,0.00044916448,0.00025562968,0.0001935348
EN<->IT,cat__semantic_field_emotion,3.9334077e-06,3.3902766e-06,5.4313114e-07
EN<->IT,cat__semantic_field_competition,0.0006239103,0.00062351057,3.99712e-07
EN<->IT,cat__semantic_field_plant,0.0,0.0,0.0
EN<->IT,cat__semantic_field_creation,0.0,0.0,0.0
EN<->IT,cat__semantic_field_phenomenon,4.363521e-05,5.4505752e-05,-1.0870543e-05
EN<->IT,cat__semantic_field_substance,0.019725515,0.019811893,-8.6378306e-05
EN<->IT,cat__tgt_pos_verb,0.007926581,0.008474981,-0.0005484
EN<->IT,cat__src_pos_verb,0.017622452,0.018290842,-0.0006683897
EN<->IT,cat__tgt_pos_conj,0.02252514,0.023441937,-0.00091679767
EN<->IT,cat__src_pos_noun,0.021380339,0.02268448,-0.0013041403
EN<->IT,cat__tgt_pos_adv,0.014573889,0.01720212,-0.0026282314
EN<->IT,cat__semantic_field_location,0.2436008,0.24623217,-0.0026313663
EN<->IT,cat__semantic_field_change,0.14619294,0.1516459,-0.0054529607
EN<->IT,cat__semantic_field_all,0.013350391,0.019676965,-0.006326574
EN<->IT,num__diff_sessions,0.22472161,0.23171711,-0.006995499
EN<->IT,cat__src_pos_adv,0.028867245,0.03851904,-0.009651795
EN<->IT,cat__src_pos_pron,0.04908685,0.05880005,-0.009713199
EN<->IT,cat__src_pos_det,0.24901228,0.25965,-0.010637715
EN<->IT,num__meaning_conflicts,0.06362416,0.07471132,-0.011087164
EN<->IT,cat__semantic_field_stative,0.17486306,0.18791577,-0.013052717
EN<->IT,cat__grammatical_conflicts_gender_number_forms,0.020550648,0.034291647,-0.013741
EN<->IT,num__abs_diff_len,0.073725864,0.09108877,-0.017362908
EN<->IT,cat__semantic_field_cognition,0.11844415,0.13973428,-0.02129013
EN<->IT,cat__semantic_field_group,0.20709139,0.22972007,-0.02262868
EN<->IT,num__abs_diff_sessions,0.15296686,0.17817602,-0.025209159
EN<->IT,cat__src_pos_adj,0.09484785,0.12580544,-0.030957587
EN<->IT,cat__semantic_field_attribute,0.46711645,0.5072761,-0.040159672
EN<->IT,cat__semantic_field_event,0.054545183,0.09714963,-0.04260445
EN<->IT,num__src_lemma_length,0.082830876,0.13065007,-0.047819197
EN<->IT,num__tgt_lemma_length,0.097833164,0.16561846,-0.0677853
EN<->IT,num__frequency,0.3305153,0.40185797,-0.07134268
EN<->IT,cat__tgt_pos_adj,0.052781545,0.13194214,-0.07916059
EN<->IT,num__tgt_session_count,0.3331528,0.41754213,-0.08438933
EN<->IT,cat__semantic_field_act,0.23111644,0.319901,-0.088784546
EN<->IT,num__concreteness,0.17502913,0.29135317,-0.11632404
EN<->IT,num__src_session_count,0.14781597,0.28072825,-0.13291228
