pair,feature,mean_abs_shap_src_harder,mean_abs_shap_tgt_harder,delta_src_minus_tgt
EN<->PT,num__src_session_count,0.75577545,0.47249272,0.28328273
EN<->PT,cat__semantic_field_change,0.6654507,0.5317292,0.13372147
EN<->PT,cat__semantic_field_state,0.5454254,0.41784322,0.12758219
EN<->PT,cat__semantic_field_motion,0.38825366,0.3380748,0.050178856
EN<->PT,num__concreteness,0.40674207,0.3610455,0.045696557
EN<->PT,cat__semantic_field_body,0.6776813,0.63411105,0.04357028
EN<->PT,cat__semantic_field_quantity,0.5969823,0.55362815,0.043354154
EN<->PT,cat__tgt_pos_det,0.30675343,0.27616787,0.030585557
EN<->PT,num__diff_len,0.15285797,0.12997937,0.022878602
EN<->PT,num__meaning_conflicts,0.13360904,0.112168506,0.021440536
EN<->PT,cat__semantic_field_feeling,1.3712965,1.3505157,0.020780802
EN<->PT,num__diff_sessions,0.31858817,0.2987767,0.019811481
EN<->PT,cat__semantic_field_substance,0.39624536,0.37763923,0.018606126
EN<->PT,num__frequency,0.20165798,0.18520975,0.01644823
EN<->PT,cat__semantic_field_communication,0.21159406,0.1960947,0.015499353
EN<->PT,cat__semantic_field_shape,0.48771456,0.47434154,0.013373017
EN<->PT,cat__semantic_field_artifact,0.34339243,0.33222505,0.011167377
EN<->PT,cat__semantic_field_contact,0.19057159,0.18180153,0.0087700635
EN<->PT,cat__src_pos_pron,0.22000821,0.21192062,0.00808759
EN<->PT,cat__grammatical_conflicts_gender_number_forms,0.028234359,0.020743199,0.00749116
EN<->PT,cat__tgt_pos_verb,0.023380574,0.016195264,0.00718531
EN<->PT,cat__semantic_field_creation,0.16404262,0.15703908,0.0070035458
EN<->PT,cat__semantic_field_attribute,0.26032236,0.25487086,0.0054515004
EN<->PT,cat__semantic_field_group,0.3002109,0.29483923,0.00537166
EN<->PT,num__tgt_lemma_length,0.2516623,0.24783729,0.0038250238
EN<->PT,cat__semantic_field_event,0.11514952,0.11212689,0.0030226335
EN<->PT,cat__semantic_field_stative,0.06319321,0.060479943,0.0027132668
EN<->PT,cat__semantic_field_possession,0.04611497,0.04404083,0.002074141
EN<->PT,cat__semantic_field_animal,0.032380108,0.03048469,0.0018954184
EN<->PT,cat__src_pos_verb,0.029541476,0.027795777,0.001745699
EN<->PT,cat__tgt_pos_noun,0.019242303,0.017985592,0.0012567118
EN<->PT,num__src_lexeme_count,0.08873788,0.087657794,0.0010800883
EN<->PT,cat__semantic_field_plant,0.0068321484,0.005859229,0.00097291963
EN<->PT,cat__tgt_pos_pron,0.078421906,0.07776149,0.000660412
EN<->PT,cat__semantic_field_cognition,0.3860597,0.38572794,0.00033175945
EN<->PT,cat__semantic_field_competition,0.0,0.0,0.0
EN<->PT,cat__semantic_field_consumption,0.0,0.0,0.0
EN<->PT,cat__tgt_pos_conj,0.012798132,0.012983138,-0.00018500537
EN<->PT,cat__semantic_field_all,0.015126583,0.015546016,-0.00041943323
EN<->PT,cat__src_pos_adv,0.025460893,0.02598338,-0.00052248687
EN<->PT,cat__tgt_pos_prep,0.008158803,0.008716786,-0.0005579833
EN<->PT,cat__tgt_pos_adj,0.042926323,0.043509915,-0.0005835928
EN<->PT,cat__grammatical_conflicts_verb_forms,0.011416354,0.012506087,-0.0010897331
EN<->PT,cat__semantic_field_food,0.015755534,0.017338937,-0.001583403
EN<->PT,cat__src_pos_adj,0.041890256,0.043526202,-0.0016359463
EN<->PT,cat__grammatical_conflicts_no_conflicts,0.052683935,0.05433552,-0.0016515851
EN<->PT,cat__semantic_field_time,0.41466743,0.41639465,-0.0017272234
EN<->PT,cat__semantic_field_pert,0.1926168,0.19456893,-0.0019521266
EN<->PT,cat__semantic_field_perception,0.010579402,0.013114648,-0.0025352463
EN<->PT,cat__semantic_field_relation,0.15436395,0.15695606,-0.0025921166
EN<->PT,cat__semantic_field_act,0.15257841,0.1559847,-0.0034062862
EN<->PT,cat__semantic_field_person,0.691771,0.69528913,-0.0035181642
EN<->PT,cat__src_pos_noun,0.02286255,0.027161412,-0.004298862
EN<->PT,cat__src_pos_prep,0.009817264,0.014860125,-0.005042861
EN<->PT,num__abs_diff_len,0.09805763,0.10563335,-0.0075757205
EN<->PT,cat__src_pos_conj,0.056111496,0.06458808,-0.008476581
EN<->PT,cat__src_pos_det,0.10341072,0.115438126,-0.012027405
EN<->PT,num__abs_diff_lexeme_count,0.07732355,0.089647725,-0.012324177
EN<->PT,num__abs_diff_sessions,0.11291268,0.12545513,-0.012542449
EN<->PT,num__tgt_session_count,0.44657466,0.45943162,-0.01285696
EN<->PT,cat__semantic_field_Tops,0.124978326,0.13904367,-0.014065348
EN<->PT,num__diff_lexeme_count,0.12310493,0.13851674,-0.015411809
EN<->PT,num__src_lemma_length,0.17667682,0.19299449,-0.016317666
EN<->PT,cat__semantic_field_social,0.09006509,0.10664816,-0.01658307
EN<->PT,cat__semantic_field_phenomenon,0.19524066,0.21228053,-0.017039865
EN<->PT,num__tgt_lexeme_count,0.104456745,0.12194496,-0.017488211
EN<->PT,cat__tgt_pos_adv,0.41374764,0.4374727,-0.023725063
EN<->PT,cat__semantic_field_location,0.38258752,0.41212475,-0.02953723
EN<->PT,cat__semantic_field_object,0.52165353,0.55637044,-0.034716904
EN<->PT,cat__semantic_field_emotion,0.13932113,0.18436326,-0.045042127
