feature,mean_abs_shap
num__diff_sessions,0.7570754
cat__semantic_field_pert,0.5176762
cat__semantic_field_feeling,0.4629496
cat__semantic_field_time,0.42235205
cat__semantic_field_attribute,0.3721723
num__src_session_count,0.3260083
cat__semantic_field_event,0.286709
num__tgt_session_count,0.24889432
cat__semantic_field_location,0.22290066
cat__semantic_field_artifact,0.20521763
cat__semantic_field_act,0.19481339
cat__semantic_field_animal,0.19341446
num__concreteness,0.17052202
cat__semantic_field_person,0.15338086
num__frequency,0.14756168
num__src_lemma_length,0.14285709
cat__semantic_field_state,0.1311096
cat__semantic_field_communication,0.122860216
cat__src_pos_conj,0.12000755
cat__semantic_field_possession,0.10390985
cat__src_pos_pron,0.097204275
num__tgt_lemma_length,0.09707282
num__abs_diff_sessions,0.09318116
num__diff_len,0.09013511
cat__semantic_field_quantity,0.07959973
cat__src_pos_noun,0.07918694
cat__semantic_field_competition,0.07900437
cat__semantic_field_change,0.078138955
cat__semantic_field_object,0.07120039
cat__src_pos_verb,0.06842497
cat__tgt_pos_adv,0.068385236
cat__grammatical_conflicts_no_conflicts,0.06342063
num__src_lexeme_count,0.06025499
cat__src_pos_adj,0.06000871
cat__semantic_field_motion,0.05717572
cat__semantic_field_body,0.055464797
cat__semantic_field_cognition,0.055132955
num__abs_diff_len,0.052025
cat__tgt_pos_pron,0.052000687
cat__semantic_field_group,0.05144144
cat__semantic_field_consumption,0.050650362
cat__grammatical_conflicts_verb_forms,0.046188045
num__diff_lexeme_count,0.04518043
cat__src_pos_prep,0.045094956
cat__semantic_field_food,0.044630732
cat__semantic_field_Tops,0.044152312
cat__semantic_field_creation,0.043021843
cat__semantic_field_substance,0.042965394
num__tgt_lexeme_count,0.04143699
cat__tgt_pos_prep,0.040307794
num__meaning_conflicts,0.034947403
cat__semantic_field_phenomenon,0.034261998
cat__semantic_field_stative,0.030594004
cat__src_pos_adv,0.026787084
num__abs_diff_lexeme_count,0.026611056
cat__tgt_pos_adj,0.019363755
cat__semantic_field_contact,0.019007526
cat__grammatical_conflicts_gender_number_forms,0.017286243
cat__tgt_pos_conj,0.015947262
cat__tgt_pos_verb,0.012472219
cat__semantic_field_plant,0.010071969
cat__semantic_field_all,0.0070945495
cat__tgt_pos_noun,0.006726213
cat__semantic_field_relation,0.0065701953
cat__semantic_field_perception,0.0063421396
cat__semantic_field_social,0.00337599
cat__src_pos_det,0.0011127896
cat__semantic_field_emotion,0.00080642337
cat__tgt_pos_det,0.00018023635
cat__semantic_field_quatity,0.0
cat__semantic_field_shape,0.0
