feature,mean_abs_shap
cat__semantic_field_contact,0.66740745
cat__semantic_field_possession,0.589348
cat__semantic_field_attribute,0.48057297
cat__tgt_pos_det,0.46878302
cat__semantic_field_feeling,0.4668748
num__tgt_session_count,0.36142978
num__frequency,0.35442063
cat__src_pos_conj,0.31055653
cat__semantic_field_time,0.28559127
cat__semantic_field_food,0.27559057
cat__semantic_field_act,0.26086622
cat__src_pos_det,0.25257674
cat__semantic_field_location,0.24448259
num__diff_sessions,0.2270657
cat__semantic_field_group,0.21467379
num__concreteness,0.21400683
cat__semantic_field_motion,0.2103769
cat__semantic_field_person,0.1991964
cat__tgt_pos_prep,0.19614805
cat__tgt_pos_pron,0.19603473
num__src_session_count,0.19235207
cat__semantic_field_state,0.19184458
cat__semantic_field_stative,0.17923678
num__abs_diff_sessions,0.16141385
cat__semantic_field_communication,0.15504402
cat__semantic_field_change,0.14802015
cat__semantic_field_cognition,0.12557805
num__tgt_lemma_length,0.12054657
cat__semantic_field_artifact,0.115379445
cat__semantic_field_quantity,0.10939926
cat__src_pos_adj,0.10522103
num__diff_len,0.10403539
num__src_lemma_length,0.09885407
num__abs_diff_len,0.079543814
cat__tgt_pos_adj,0.079306595
num__src_lexeme_count,0.0785563
cat__semantic_field_event,0.06882098
num__meaning_conflicts,0.067339234
cat__semantic_field_Tops,0.0640956
num__diff_lexeme_count,0.061321214
cat__src_pos_pron,0.052341536
cat__src_pos_prep,0.04643255
cat__tgt_pos_noun,0.04398909
num__tgt_lexeme_count,0.042132467
num__abs_diff_lexeme_count,0.03871952
cat__src_pos_adv,0.03210135
cat__semantic_field_social,0.031173216
cat__grammatical_conflicts_gender_number_forms,0.025154956
cat__tgt_pos_conj,0.022832341
cat__semantic_field_body,0.02214726
cat__src_pos_noun,0.021817332
cat__semantic_field_substance,0.019754454
cat__semantic_field_process,0.018776609
cat__src_pos_verb,0.017846417
cat__semantic_field_all,0.0154703
cat__tgt_pos_adv,0.015454558
cat__grammatical_conflicts_no_conflicts,0.013966283
cat__semantic_field_animal,0.011117257
cat__semantic_field_motive,0.010032581
cat__tgt_pos_verb,0.008110342
cat__semantic_field_pert,0.006536279
cat__semantic_field_consumption,0.0017250214
cat__grammatical_conflicts_verb_forms,0.0012975173
cat__semantic_field_competition,0.00062377646
cat__semantic_field_perception,0.00038431506
cat__semantic_field_phenomenon,4.7277703e-05
cat__semantic_field_emotion,3.751415e-06
cat__semantic_field_plant,0.0
cat__semantic_field_creation,0.0
