feature,mean_abs_shap
cat__semantic_field_feeling,1.361453
cat__semantic_field_person,0.69343734
cat__semantic_field_body,0.6570427
num__src_session_count,0.6215886
cat__semantic_field_change,0.60210866
cat__semantic_field_quantity,0.5764461
cat__semantic_field_object,0.53809816
cat__semantic_field_state,0.4849917
cat__semantic_field_shape,0.48137987
num__tgt_session_count,0.45266467
cat__tgt_pos_adv,0.42498586
cat__semantic_field_time,0.4154854
cat__semantic_field_location,0.39657894
cat__semantic_field_substance,0.3874318
cat__semantic_field_cognition,0.38590258
num__concreteness,0.3850964
cat__semantic_field_motion,0.3644847
cat__semantic_field_artifact,0.33810264
num__diff_sessions,0.3092038
cat__semantic_field_group,0.29766643
cat__tgt_pos_det,0.2922655
cat__semantic_field_attribute,0.25774008
num__tgt_lemma_length,0.2498505
cat__src_pos_pron,0.21617736
cat__semantic_field_communication,0.20425224
cat__semantic_field_phenomenon,0.20331223
num__frequency,0.19386673
cat__semantic_field_pert,0.1935415
cat__semantic_field_contact,0.18641727
num__src_lemma_length,0.18440619
cat__semantic_field_creation,0.16072522
cat__semantic_field_emotion,0.16065682
cat__semantic_field_relation,0.1555918
cat__semantic_field_act,0.15419194
num__diff_len,0.14202076
cat__semantic_field_Tops,0.13164082
num__diff_lexeme_count,0.13040532
num__meaning_conflicts,0.123453
num__abs_diff_sessions,0.118853904
cat__semantic_field_event,0.11371771
num__tgt_lexeme_count,0.112740606
cat__src_pos_det,0.10910789
num__abs_diff_len,0.101646096
cat__semantic_field_social,0.09792023
num__src_lexeme_count,0.08822627
num__abs_diff_lexeme_count,0.08316133
cat__tgt_pos_pron,0.0781091
cat__semantic_field_stative,0.061907973
cat__src_pos_conj,0.060126685
cat__grammatical_conflicts_no_conflicts,0.053466275
cat__semantic_field_possession,0.045132473
cat__tgt_pos_adj,0.04320277
cat__src_pos_adj,0.042665176
cat__semantic_field_animal,0.031482276
cat__src_pos_verb,0.028714549
cat__src_pos_adv,0.025708383
cat__src_pos_noun,0.024898857
cat__grammatical_conflicts_gender_number_forms,0.02468591
cat__tgt_pos_verb,0.019977001
cat__tgt_pos_noun,0.018647024
cat__semantic_field_food,0.016505571
cat__semantic_field_all,0.015325269
cat__tgt_pos_conj,0.012885784
cat__src_pos_prep,0.012205987
cat__grammatical_conflicts_verb_forms,0.011932545
cat__semantic_field_perception,0.011780313
cat__tgt_pos_prep,0.008423113
cat__semantic_field_plant,0.0063712974
cat__semantic_field_competition,0.0
cat__semantic_field_consumption,0.0
